epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1
1,1.6078596956221014,1.0611736230770414,0.4377181814448232,0.6445416508178015,0.36040640652156203,0.5968324752813996
2,0.9369510099125954,0.967838652259091,0.6887757197420838,0.6704069988588817,0.6585496490537446,0.6393618659692203
3,0.7079321320499795,0.9860770378152696,0.7657809355620354,0.6801065043742868,0.7462102194305384,0.6470204294726162
4,0.5382437786236794,1.0508590251966863,0.8264815803523758,0.6782046405477368,0.8128747179787225,0.6469727989170693
5,0.40635979997827276,1.1284453750518213,0.872848987638096,0.6761125903385318,0.861583867905837,0.6453033321297433
6,0.3025167054638265,1.2286769474990107,0.9066080742535628,0.6723088626854318,0.8979561108875749,0.6430065218565731
7,0.23125264812942462,1.3435109026670546,0.9294016181362684,0.6702168124762267,0.9228983819816489,0.636835817121058
8,0.18212541137966973,1.3868797058703646,0.9455419113721303,0.6705971852415367,0.9403956053765297,0.6369730366978542
9,0.14780740235428472,1.448024630183818,0.9559735512752063,0.6709775580068467,0.9512873980621472,0.637249393644279
10,0.12188313896620345,1.4703102250115505,0.9658302189001602,0.6730696082160518,0.9618936434822795,0.6407647736862595
