epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1
1,1.9366941051642954,1.6827448804644225,0.3054745574766931,0.37580829212628375,0.16718545271223245,0.254831267028861
2,1.567982807762202,1.4582764729659066,0.4344326255698386,0.46215290985165464,0.3766945053275699,0.3967550844718934
3,0.9227822821577686,0.878235602523946,0.6903774282311389,0.701217192848992,0.6671072833719731,0.6736854839959517
4,0.658692366467633,0.8519694745971387,0.7807712842416527,0.7200456447318372,0.7647264935636088,0.6950132336543308
5,0.49351440326326107,0.8936458978194073,0.8362150396320177,0.7230886268543172,0.8253036075599307,0.6945552744858412
6,0.37890887068274515,0.9705257588531999,0.875518501786521,0.7133891213389121,0.8653440954526369,0.6861686313813258
7,0.2896530309471635,1.0444969365740966,0.9067312825988747,0.7170026626093572,0.9007547007850533,0.6885321790433783
8,0.22352763064916464,1.1504469211222146,0.9288266458581461,0.7133891213389121,0.922503950950581,0.6827992984801567
9,0.1793911221387318,1.1680507833806224,0.9443919668158857,0.7185241536705972,0.9396484156888071,0.693380071251863
10,0.14850976338102184,1.1773516769960561,0.9558914123783318,0.7202358311144922,0.9525549155408586,0.6928654892149819
