epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1
1,1.8527965741635564,1.339539459741084,0.3312661710953222,0.5542031190566755,0.21721199306540884,0.4799797762071683
2,1.103089432409595,1.0077390169272091,0.6278286582611196,0.6513883605933816,0.5860369465390876,0.6143788366343528
3,0.7613399191296141,0.98873258906655,0.7460676003121278,0.6709775580068467,0.722377175955611,0.6290092284260057
4,0.5353042474027639,1.089566849537701,0.8286582611195532,0.6618486116394067,0.810924005558769,0.6253418521509135
5,0.3758668733590966,1.144187653776628,0.8833627664380468,0.6660327120578167,0.8714744668009389,0.63241836544393
6,0.25445461068362824,1.235700747820759,0.9248839788081646,0.6686953214149867,0.9161096539850452,0.6366474078754085
7,0.18205754268899008,1.3303748872081513,0.9477596615877448,0.6686953214149867,0.9428686932905455,0.637823895886454
8,0.12845632744288807,1.423799256581959,0.9636946075814202,0.6624191707873717,0.9594116921933318,0.6287118673659493
9,0.09662818607182942,1.466030896140759,0.9749887059016797,0.6690756941802967,0.9714031150337712,0.6354215309563364
10,0.0780132092666154,1.4851540293064167,0.9800813175079058,0.6694560669456067,0.9781883683739662,0.6375949325312018
