epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1
1,1.8514817342008525,1.3230149062154137,0.33397675469218446,0.5517306960821605,0.22138739010680877,0.4764518396690263
2,1.1188767071871637,1.0169063499781876,0.6252412830095692,0.6479650057055915,0.5851065215301109,0.6113320724630038
3,0.7771855778280746,0.9870937786523087,0.7410981970512136,0.6721186763027768,0.7183094100944967,0.6334400363810615
4,0.5490488240990954,1.081754196547156,0.8233603022711405,0.6620387980220617,0.8068962352827914,0.6282670717999548
5,0.3814974175857525,1.1452835829097447,0.881802127397429,0.6705971852415367,0.8713979121886529,0.6367875977809863
6,0.26387960639370656,1.2046983442908688,0.9217627007269292,0.6688855077976417,0.9138984498556929,0.6390192503109223
7,0.18058314250146512,1.329392583617787,0.9486221200049283,0.6702168124762267,0.9424687816798443,0.6402994148604371
8,0.1313314873059186,1.385858656653618,0.9646392048954783,0.6650817801445417,0.9604237509785322,0.636894397135026
9,0.10184608580884777,1.436475473331743,0.9717031500266952,0.6724990490680868,0.967983033309405,0.6447567989349348
10,0.07900465547100925,1.4664330380458983,0.9800813175079058,0.6707873716241917,0.97843169454459,0.6420115617050209
