epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1
1,1.707045620543016,1.1526483076522902,0.39964680274343917,0.606504374286801,0.2956590068163226,0.5508567312412022
2,0.9982258442554773,0.9637207446464707,0.662080578257834,0.6711677443895017,0.6277795222255809,0.6421166640543344
3,0.7130586926127034,0.9651344690136059,0.7642202965214178,0.6795359452263218,0.7428945884766428,0.6496718794440594
4,0.5063677273436422,1.054880350476755,0.8359686229413938,0.6709775580068467,0.822567571347823,0.6401088333904996
5,0.35275232367062404,1.1290754233081335,0.8912481005380097,0.6782046405477368,0.880594657408765,0.647295949310891
6,0.24671808445929522,1.239762332150128,0.9274302846112776,0.6700266260935717,0.919913417232733,0.6392896226694088
7,0.17630867203047712,1.3379676308909403,0.9484989116596164,0.6721186763027768,0.9439165279636769,0.641491543726045
8,0.12967774163491133,1.4085020685250336,0.9631607047517352,0.6747812856599468,0.9589991144467002,0.6456288175531008
9,0.09839551140777585,1.469920383881779,0.9737155530001232,0.6719284899201218,0.9712246382842064,0.6413577321855826
10,0.08112352853061443,1.4986810717758636,0.9791367201938478,0.6705971852415367,0.9762427204871228,0.6399586212754568
