epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_macro_f1,val_macro_f1
1,1.7595694903314145,1.1856599072169423,0.3748408558873054,0.603271205781666,0.28166230900416933,0.5331145768813303
2,1.033571264575779,0.9374835112558294,0.648199104686024,0.6808672499049068,0.6108335918679219,0.6465591980775733
3,0.7686241865353916,0.960608490545426,0.7407285720152779,0.6846709775580069,0.7180072287718513,0.6504880698424713
4,0.5828346377075309,0.9417209810587607,0.8024148835681136,0.7048307341194371,0.7849134226424391,0.6754169763051076
5,0.430992012883345,1.0054028346970219,0.8568729721959835,0.703119056675542,0.8458018947725532,0.6717521611346591
6,0.31154660523351474,1.0682793735845681,0.8995030596739085,0.7073031570939521,0.8913922555149889,0.6770156237048864
7,0.23364819919746257,1.169414626527259,0.9266088956425316,0.7057816660327121,0.9213801337955267,0.6755663685446407
8,0.17857632470527976,1.207810563114307,0.9446794529549468,0.702358311144922,0.9388929395270856,0.6726663965274746
9,0.13781513571323048,1.2621707889506826,0.9572877736252002,0.7040699885888171,0.9533143152324245,0.6750201650834757
10,0.11040114869613256,1.2711455168357682,0.9687872191876463,0.7048307341194371,0.9657899267906428,0.6764104485981819
